 
  
      R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho   
   6.194900D-02  5.117000D+07  5.109427D+07  1.479924D-03  5.888400D-02  1.207800D+02  1.207144D+02  5.433955D-04 
   7.494800D-02  5.116900D+07  5.110202D+07  1.309071D-03  7.722500D-02  1.053200D+02  1.052897D+02  2.878556D-04 
   1.005200D-01  5.080300D+07  5.075770D+07  8.916778D-04  1.020800D-01  8.593700D+01  8.582733D+01  1.276141D-03 
   1.273300D-01  4.985800D+07  4.984154D+07  3.301869D-04  1.270600D-01  6.922600D+01  6.910900D+01  1.690115D-03 
   1.520800D-01  4.855900D+07  4.857206D+07 -2.689985D-04  1.516200D-01  5.551000D+01  5.543642D+01  1.325536D-03 
   1.763600D-01  4.703300D+07  4.707432D+07 -8.786265D-04  1.770900D-01  4.377200D+01  4.370805D+01  1.460961D-03 
   2.018400D-01  4.531600D+07  4.534043D+07 -5.390783D-04  2.023300D-01  3.422100D+01  3.423003D+01 -2.638032D-04 
   2.274600D-01  4.356900D+07  4.356920D+07 -4.680879D-06  2.273000D-01  2.651400D+01  2.657935D+01 -2.464660D-03 
   2.525300D-01  4.189700D+07  4.187652D+07  4.887727D-04  2.527700D-01  2.023400D+01  2.031397D+01 -3.952039D-03 
   2.777100D-01  4.030100D+07  4.026339D+07  9.332682D-04  2.780300D-01  1.535500D+01  1.542212D+01 -4.371312D-03 
   3.032000D-01  3.879800D+07  3.874034D+07  1.486228D-03  3.033300D-01  1.157000D+01  1.162808D+01 -5.020060D-03 
   3.284700D-01  3.739500D+07  3.733783D+07  1.528910D-03  3.287900D-01  8.683800D+00  8.722517D+00 -4.458478D-03 
   3.537000D-01  3.609000D+07  3.603411D+07  1.548762D-03  3.540300D-01  6.534600D+00  6.555457D+00 -3.191787D-03 
   3.791200D-01  3.486600D+07  3.480879D+07  1.640896D-03  3.794600D-01  4.912300D+00  4.924538D+00 -2.491351D-03 
   4.043900D-01  3.371000D+07  3.366883D+07  1.221422D-03  4.047400D-01  3.716000D+00  3.717375D+00 -3.701446D-04 
   4.297000D-01  3.262900D+07  3.259615D+07  1.006922D-03  4.300600D-01  2.820100D+00  2.816996D+00  1.100675D-03 
   4.550400D-01  3.160400D+07  3.158379D+07  6.396013D-04  4.553500D-01  2.152100D+00  2.145990D+00  2.838906D-03 
   4.803100D-01  3.063400D+07  3.062827D+07  1.870383D-04  4.806300D-01  1.651700D+00  1.643961D+00  4.685356D-03 
   5.056600D-01  2.971200D+07  2.971579D+07 -1.274946D-04  5.059200D-01  1.273700D+00  1.266362D+00  5.761329D-03 
   5.309600D-01  2.882200D+07  2.884263D+07 -7.158774D-04  5.312100D-01  9.885000D-01  9.811716D-01  7.413701D-03 
   5.563000D-01  2.797200D+07  2.799678D+07 -8.860217D-04  5.565100D-01  7.705400D-01  7.645884D-01  7.723980D-03 
   5.816000D-01  2.713000D+07  2.717152D+07 -1.530409D-03  5.818100D-01  6.044500D-01  5.992647D-01  8.578496D-03 
   6.069300D-01  2.631100D+07  2.635279D+07 -1.588317D-03  6.071100D-01  4.763400D-01  4.724018D-01  8.267703D-03 
   6.322300D-01  2.548300D+07  2.552575D+07 -1.677691D-03  6.324300D-01  3.775600D-01  3.745548D-01  7.959598D-03 
   6.575400D-01  2.463700D+07  2.465913D+07 -8.981839D-04  6.577200D-01  3.009500D-01  2.991101D-01  6.113614D-03 
   6.828300D-01  2.370600D+07  2.369694D+07  3.821975D-04  6.830400D-01  2.419700D-01  2.410444D-01  3.825432D-03 
   7.081100D-01  2.261400D+07  2.260851D+07  2.428199D-04  7.083800D-01  1.968500D-01  1.959883D-01  4.377642D-03 
   7.333700D-01  2.125700D+07  2.125676D+07  1.126607D-05  7.337100D-01  1.628100D-01  1.619475D-01  5.297567D-03 
   7.586900D-01  1.988100D+07  1.988006D+07  4.718628D-05  7.590300D-01  1.331100D-01  1.323591D-01  5.641169D-03 
   7.840400D-01  1.849500D+07  1.849186D+07  1.696307D-04  7.843500D-01  1.070300D-01  1.064514D-01  5.406237D-03 
   8.093400D-01  1.708900D+07  1.708569D+07  1.939268D-04  8.096700D-01  8.431500D-02  8.387090D-02  5.267193D-03 
   8.346400D-01  1.564900D+07  1.564491D+07  2.611045D-04  8.349900D-01  6.466700D-02  6.431716D-02  5.409920D-03 
   8.599500D-01  1.415600D+07  1.414993D+07  4.286187D-04  8.603100D-01  4.780000D-02  4.754028D-02  5.433503D-03 
   8.852700D-01  1.258200D+07  1.257385D+07  6.475824D-04  8.856400D-01  3.350700D-02  3.332666D-02  5.382306D-03 
   9.106000D-01  1.088100D+07  1.087370D+07  6.706018D-04  9.109600D-01  2.165700D-02  2.153385D-02  5.686154D-03 
   9.359000D-01  8.977100D+06  8.974597D+06  2.788217D-04  9.362800D-01  1.215700D-02  1.207152D-02  7.031169D-03 
   9.566100D-01  7.138800D+06  7.158194D+06 -2.716666D-03  9.575400D-01  5.983500D-03  5.937130D-03  7.749578D-03
