   age(Myr)     LI7    Be9 
   30.940  1.763  1.436  
   31.040  1.763  1.436  
   31.110  1.763  1.436  
   31.210  1.763  1.436  
   31.350  1.763  1.436  
   31.580  1.763  1.436  
   31.810  1.763  1.436  
   32.100  1.763  1.436  
   32.390  1.763  1.436  
   32.620  1.763  1.436  
   32.840  1.763  1.436  
   33.140  1.763  1.436  
   33.560  1.763  1.435  
   34.050  1.763  1.435  
   34.550  1.763  1.435  
   35.070  1.763  1.435  
   35.630  1.763  1.435  
   36.240  1.762  1.435  
   36.930  1.762  1.435  
   37.760  1.762  1.435  
   38.830  1.762  1.435  
   40.410  1.762  1.435  
   42.000  1.762  1.435  
  156.410  1.723  1.432  
  234.570  1.692  1.429  
  300.200  1.665  1.428  
  375.840  1.635  1.425  
  456.480  1.605  1.422  
  549.290  1.572  1.418  
  643.670  1.541  1.414  
  748.500  1.507  1.409  
  830.830  1.482  1.405  
  905.800  1.460  1.401  
 1018.250  1.428  1.394  
 1141.360  1.395  1.387  
 1202.910  1.379  1.384  
 1233.680  1.371  1.382  
 1279.850  1.360  1.380  
 1343.220  1.344  1.376  
 1430.240  1.323  1.371  
 1532.360  1.299  1.365  
 1658.910  1.271  1.358  
 1747.300  1.252  1.353  
 1855.880  1.230  1.347  
 1910.180  1.219  1.344  
 1937.330  1.214  1.343  
 1966.250  1.207  1.341  
 2009.640  1.199  1.339  
 2057.860  1.189  1.336  
 2105.970  1.180  1.334  
 2162.660  1.168  1.331  
 2247.680  1.152  1.326  
 2371.550  1.130  1.319  
 2494.870  1.108  1.313  
 2617.680  1.087  1.307  
 2735.990  1.067  1.301  
 2857.780  1.048  1.294  
 2952.350  1.033  1.290  
 3049.430  1.018  1.285  
 3111.770  1.009  1.282  
 3145.370  1.003  1.280  
 3195.760  0.996  1.278  
 3271.350  0.985  1.274  
 3384.740  0.969  1.269  
 3478.040  0.955  1.264  
 3586.600  0.941  1.259  
 3702.830  0.925  1.254  
 3788.390  0.913  1.250  
 3843.860  0.906  1.248  
 3882.650  0.900  1.246  
 3926.300  0.895  1.244  
 3991.240  0.886  1.241  
 4060.040  0.878  1.238  
 4140.860  0.868  1.234  
 4255.740  0.854  1.229  
 4369.950  0.841  1.224  
 4483.550  0.827  1.219  
 4570.000  0.817  1.216  
    0.000  0.000  0.000  
