   age(Myr)     LI7    Be9 
   29.920  2.592  1.438  
   30.050  2.592  1.438  
   30.170  2.592  1.438  
   30.310  2.592  1.438  
   30.440  2.592  1.438  
   30.590  2.592  1.438  
   30.770  2.592  1.438  
   30.920  2.592  1.438  
   31.110  2.592  1.438  
   31.330  2.592  1.438  
   31.590  2.592  1.438  
   31.880  2.592  1.438  
   32.200  2.592  1.438  
   32.570  2.592  1.438  
   33.000  2.592  1.438  
   33.490  2.592  1.438  
   33.990  2.592  1.438  
   34.520  2.592  1.438  
   35.070  2.592  1.438  
   35.670  2.592  1.438  
   36.340  2.592  1.438  
   37.120  2.592  1.438  
   38.000  2.591  1.438  
   39.270  2.591  1.438  
   41.190  2.591  1.438  
   43.940  2.591  1.438  
  163.690  2.586  1.435  
  306.930  2.581  1.430  
  437.830  2.577  1.426  
  567.360  2.573  1.422  
  696.540  2.568  1.419  
  825.350  2.564  1.415  
  953.770  2.560  1.411  
 1081.810  2.556  1.407  
 1209.460  2.552  1.403  
 1336.710  2.548  1.399  
 1463.560  2.544  1.395  
 1590.000  2.540  1.392  
 1716.010  2.536  1.388  
 1841.610  2.532  1.384  
 1966.760  2.528  1.380  
 2091.480  2.524  1.376  
 2215.750  2.520  1.373  
 2339.570  2.516  1.369  
 2462.910  2.512  1.365  
 2585.780  2.508  1.361  
 2708.170  2.505  1.358  
 2830.050  2.501  1.354  
 2951.430  2.497  1.350  
 3072.290  2.493  1.347  
 3192.630  2.490  1.343  
 3312.440  2.486  1.339  
 3431.710  2.482  1.336  
 3550.430  2.479  1.332  
 3668.590  2.475  1.329  
 3786.180  2.472  1.325  
 3903.200  2.468  1.322  
 4019.640  2.464  1.318  
 4135.490  2.461  1.315  
 4250.760  2.457  1.311  
 4365.430  2.454  1.308  
 4479.520  2.451  1.304  
 4570.000  2.448  1.302  
 4570.000  2.448  1.302  
 4570.000  2.448  1.302  
 4570.000  2.448  1.302  
