 
     R             Basu-cs      model-cs       delc           R          Basu-rho      model-rho      delrho  
  6.194900D-02  5.117000D+07  5.110566D+07  1.257463D-03  5.888400D-02  1.207800D+02  1.205449D+02  1.946183D-03
  7.494800D-02  5.116900D+07  5.110927D+07  1.167380D-03  7.722500D-02  1.053200D+02  1.051930D+02  1.206021D-03
  1.005200D-01  5.080300D+07  5.075431D+07  9.583619D-04  1.020800D-01  8.593700D+01  8.580754D+01  1.506407D-03
  1.273300D-01  4.985800D+07  4.982754D+07  6.109881D-04  1.270600D-01  6.922600D+01  6.912684D+01  1.432401D-03
  1.520800D-01  4.855900D+07  4.856020D+07 -2.461894D-05  1.516200D-01  5.551000D+01  5.544472D+01  1.176031D-03
  1.763600D-01  4.703300D+07  4.706410D+07 -6.612593D-04  1.770900D-01  4.377200D+01  4.371561D+01  1.288190D-03
  2.018400D-01  4.531600D+07  4.532917D+07 -2.907324D-04  2.023300D-01  3.422100D+01  3.422438D+01 -9.865539D-05
  2.274600D-01  4.356900D+07  4.356611D+07  6.623069D-05  2.273000D-01  2.651400D+01  2.655498D+01 -1.545739D-03
  2.525300D-01  4.189700D+07  4.188068D+07  3.895649D-04  2.527700D-01  2.023400D+01  2.029001D+01 -2.768074D-03
  2.777100D-01  4.030100D+07  4.027069D+07  7.521314D-04  2.780300D-01  1.535500D+01  1.540467D+01 -3.234818D-03
  3.032000D-01  3.879800D+07  3.875861D+07  1.015316D-03  3.033300D-01  1.157000D+01  1.161233D+01 -3.658801D-03
  3.284700D-01  3.739500D+07  3.736538D+07  7.920244D-04  3.287900D-01  8.683800D+00  8.711153D+00 -3.149898D-03
  3.537000D-01  3.609000D+07  3.606465D+07  7.024899D-04  3.540300D-01  6.534600D+00  6.550835D+00 -2.484440D-03
  3.791200D-01  3.486600D+07  3.483776D+07  8.100522D-04  3.794600D-01  4.912300D+00  4.924908D+00 -2.566581D-03
  4.043900D-01  3.371000D+07  3.369333D+07  4.944375D-04  4.047400D-01  3.716000D+00  3.721080D+00 -1.367159D-03
  4.297000D-01  3.262900D+07  3.261386D+07  4.639187D-04  4.300600D-01  2.820100D+00  2.822545D+00 -8.671666D-04
  4.550400D-01  3.160400D+07  3.159215D+07  3.750246D-04  4.553500D-01  2.152100D+00  2.152320D+00 -1.021313D-04
  4.803100D-01  3.063400D+07  3.062472D+07  3.028330D-04  4.806300D-01  1.651700D+00  1.650285D+00  8.569768D-04
  5.056600D-01  2.971200D+07  2.969818D+07  4.651926D-04  5.059200D-01  1.273700D+00  1.272233D+00  1.151887D-03
  5.309600D-01  2.882200D+07  2.880976D+07  4.245803D-04  5.312100D-01  9.885000D-01  9.862574D-01  2.268706D-03
  5.563000D-01  2.797200D+07  2.794826D+07  8.487142D-04  5.565100D-01  7.705400D-01  7.687971D-01  2.261862D-03
  5.816000D-01  2.713000D+07  2.710788D+07  8.152395D-04  5.818100D-01  6.044500D-01  6.025217D-01  3.190166D-03
  6.069300D-01  2.631100D+07  2.627545D+07  1.350982D-03  6.071100D-01  4.763400D-01  4.747554D-01  3.326593D-03
  6.322300D-01  2.548300D+07  2.543865D+07  1.740236D-03  6.324300D-01  3.775600D-01  3.760500D-01  3.999417D-03
  6.575400D-01  2.463700D+07  2.457454D+07  2.535307D-03  6.577200D-01  3.009500D-01  2.996818D-01  4.214059D-03
  6.828300D-01  2.370600D+07  2.365215D+07  2.271508D-03  6.830400D-01  2.419700D-01  2.403476D-01  6.704788D-03
  7.081100D-01  2.261400D+07  2.259549D+07  8.187142D-04  7.083800D-01  1.968500D-01  1.947613D-01  1.061057D-02
  7.333700D-01  2.125700D+07  2.125635D+07  3.073431D-05  7.337100D-01  1.628100D-01  1.607388D-01  1.272176D-02
  7.586900D-01  1.988100D+07  1.987981D+07  5.987570D-05  7.590300D-01  1.331100D-01  1.313590D-01  1.315476D-02
  7.840400D-01  1.849500D+07  1.849185D+07  1.703794D-04  7.843500D-01  1.070300D-01  1.056407D-01  1.298051D-02
  8.093400D-01  1.708900D+07  1.708600D+07  1.754286D-04  8.096700D-01  8.431500D-02  8.322628D-02  1.291251D-02
  8.346400D-01  1.564900D+07  1.564563D+07  2.151633D-04  8.349900D-01  6.466700D-02  6.381987D-02  1.309989D-02
  8.599500D-01  1.415600D+07  1.415104D+07  3.505787D-04  8.603100D-01  4.780000D-02  4.717146D-02  1.314944D-02
  8.852700D-01  1.258200D+07  1.257536D+07  5.274810D-04  8.856400D-01  3.350700D-02  3.306895D-02  1.307327D-02
  9.106000D-01  1.088100D+07  1.087574D+07  4.838442D-04  9.109600D-01  2.165700D-02  2.136932D-02  1.328326D-02
  9.359000D-01  8.977100D+06  8.977370D+06 -3.009861D-05  9.362800D-01  1.215700D-02  1.198184D-02  1.440791D-02
  9.566100D-01  7.138800D+06  7.162039D+06 -3.255287D-03  9.575400D-01  5.983500D-03  5.896095D-03  1.460770D-02
