   R/R_sun      m/M_sun       T         Li    Be 
 4.07366e-03 7.25828e-06 1.56046e+07 -11 -44.029  
 4.13671e-03 7.60035e-06 1.56044e+07 -11 -44.029  
 4.20073e-03 7.95854e-06 1.56042e+07 -11 -44.029  
 4.26575e-03 8.33362e-06 1.56040e+07 -11 -44.029  
 4.33177e-03 8.72637e-06 1.56038e+07 -11 -44.029  
 4.39882e-03 9.13763e-06 1.56036e+07 -11 -44.029  
 4.46691e-03 9.56827e-06 1.56034e+07 -11 -44.029  
 4.53605e-03 1.00192e-05 1.56032e+07 -11 -44.029  
 4.60626e-03 1.04914e-05 1.56030e+07 -11 -44.029  
 4.67756e-03 1.09858e-05 1.56028e+07 -11 -44.029  
 4.74997e-03 1.15036e-05 1.56026e+07 -11 -44.029  
 4.82350e-03 1.20457e-05 1.56023e+07 -11 -44.029  
 4.89817e-03 1.26134e-05 1.56021e+07 -11 -44.029  
 4.97400e-03 1.32079e-05 1.56018e+07 -11 -44.029  
 5.05100e-03 1.38304e-05 1.56016e+07 -11 -44.029  
 5.12919e-03 1.44822e-05 1.56013e+07 -11 -44.029  
 5.20860e-03 1.51647e-05 1.56010e+07 -11 -44.029  
 5.28924e-03 1.58794e-05 1.56007e+07 -11 -44.029  
 5.37113e-03 1.66278e-05 1.56004e+07 -11 -44.029  
 5.45429e-03 1.74114e-05 1.56001e+07 -11 -44.029  
 5.53875e-03 1.82320e-05 1.55998e+07 -11 -44.029  
 5.62451e-03 1.90912e-05 1.55995e+07 -11 -44.029  
 5.71160e-03 1.99910e-05 1.55992e+07 -11 -44.029  
 5.80004e-03 2.09331e-05 1.55988e+07 -11 -44.029  
 5.88986e-03 2.19196e-05 1.55985e+07 -11 -44.029  
 5.98107e-03 2.29527e-05 1.55981e+07 -11 -44.029  
 6.07369e-03 2.40344e-05 1.55977e+07 -11 -44.029  
 6.16775e-03 2.51671e-05 1.55973e+07 -11 -44.029  
 6.26328e-03 2.63532e-05 1.55969e+07 -11 -44.029  
 6.36028e-03 2.75952e-05 1.55965e+07 -11 -44.029  
 6.45879e-03 2.88957e-05 1.55961e+07 -11 -44.029  
 6.55883e-03 3.02575e-05 1.55956e+07 -11 -44.029  
 6.66043e-03 3.16835e-05 1.55952e+07 -11 -44.029  
 6.76360e-03 3.31767e-05 1.55947e+07 -11 -44.029  
 6.86838e-03 3.47403e-05 1.55942e+07 -11 -44.029  
 6.97478e-03 3.63776e-05 1.55938e+07 -11 -44.029  
 7.08284e-03 3.80920e-05 1.55932e+07 -11 -44.029  
 7.19258e-03 3.98872e-05 1.55927e+07 -11 -44.029  
 7.30402e-03 4.17670e-05 1.55922e+07 -11 -44.029  
 7.41719e-03 4.37354e-05 1.55916e+07 -11 -44.029  
 7.53213e-03 4.57966e-05 1.55910e+07 -11 -44.029  
 7.64885e-03 4.79550e-05 1.55904e+07 -11 -44.029  
 7.76738e-03 5.02150e-05 1.55898e+07 -11 -44.029  
 7.88776e-03 5.25816e-05 1.55892e+07 -11 -44.029  
 8.01002e-03 5.50597e-05 1.55885e+07 -11 -44.029  
 8.13417e-03 5.76545e-05 1.55878e+07 -11 -44.029  
 8.26026e-03 6.03717e-05 1.55871e+07 -11 -44.029  
 8.38831e-03 6.32169e-05 1.55864e+07 -11 -44.029  
 8.51836e-03 6.61963e-05 1.55857e+07 -11 -44.029  
 8.65042e-03 6.93160e-05 1.55849e+07 -11 -44.029  
 8.78455e-03 7.25828e-05 1.55841e+07 -11 -44.029  
 8.92077e-03 7.60035e-05 1.55833e+07 -11 -44.029  
 9.05911e-03 7.95854e-05 1.55825e+07 -11 -44.029  
 9.19960e-03 8.33362e-05 1.55816e+07 -11 -44.029  
 9.34229e-03 8.72637e-05 1.55807e+07 -11 -44.029  
 9.48720e-03 9.13763e-05 1.55798e+07 -11 -44.029  
 9.63437e-03 9.56827e-05 1.55789e+07 -11 -44.029  
 9.78383e-03 1.00192e-04 1.55779e+07 -11 -44.029  
 9.93563e-03 1.04914e-04 1.55769e+07 -11 -44.029  
 1.00898e-02 1.09858e-04 1.55758e+07 -11 -44.029  
 1.02464e-02 1.15036e-04 1.55748e+07 -11 -44.029  
 1.04054e-02 1.20457e-04 1.55737e+07 -11 -44.029  
 1.05669e-02 1.26134e-04 1.55725e+07 -11 -44.029  
 1.07309e-02 1.32079e-04 1.55714e+07 -11 -44.029  
 1.08975e-02 1.38304e-04 1.55702e+07 -11 -44.029  
 1.10667e-02 1.44822e-04 1.55689e+07 -11 -44.029  
 1.12386e-02 1.51647e-04 1.55676e+07 -11 -44.029  
 1.14131e-02 1.58794e-04 1.55663e+07 -11 -44.030  
 1.15904e-02 1.66278e-04 1.55649e+07 -11 -44.030  
 1.17704e-02 1.74114e-04 1.55635e+07 -11 -44.030  
 1.19533e-02 1.82320e-04 1.55621e+07 -11 -44.030  
 1.21390e-02 1.90912e-04 1.55606e+07 -11 -44.030  
 1.23276e-02 1.99910e-04 1.55590e+07 -11 -44.030  
 1.25192e-02 2.09331e-04 1.55574e+07 -11 -44.030  
 1.27138e-02 2.19196e-04 1.55558e+07 -11 -44.030  
 1.29115e-02 2.29527e-04 1.55541e+07 -11 -44.030  
 1.31123e-02 2.40344e-04 1.55523e+07 -11 -44.030  
 1.33162e-02 2.51671e-04 1.55505e+07 -11 -44.030  
 1.35233e-02 2.63532e-04 1.55487e+07 -11 -44.030  
 1.37337e-02 2.75952e-04 1.55468e+07 -11 -44.030  
 1.39474e-02 2.88957e-04 1.55448e+07 -11 -44.030  
 1.41645e-02 3.02575e-04 1.55428e+07 -11 -44.030  
 1.43849e-02 3.16835e-04 1.55407e+07 -11 -44.030  
 1.46089e-02 3.31767e-04 1.55385e+07 -11 -44.030  
 1.48364e-02 3.47403e-04 1.55363e+07 -11 -44.030  
 1.50674e-02 3.63776e-04 1.55340e+07 -11 -44.030  
 1.53022e-02 3.80920e-04 1.55316e+07 -11 -44.030  
 1.55406e-02 3.98872e-04 1.55291e+07 -11 -44.030  
 1.57828e-02 4.17670e-04 1.55266e+07 -11 -44.030  
 1.60288e-02 4.37354e-04 1.55240e+07 -11 -44.030  
 1.62787e-02 4.57966e-04 1.55213e+07 -11 -44.030  
 1.65326e-02 4.79550e-04 1.55186e+07 -11 -44.030  
 1.67905e-02 5.02150e-04 1.55157e+07 -11 -44.030  
 1.70525e-02 5.25816e-04 1.55128e+07 -11 -44.030  
 1.73187e-02 5.50597e-04 1.55097e+07 -11 -44.030  
