   age(Myr)     LI7    Be9 
   30.940  1.755  1.436  
   31.020  1.755  1.436  
   31.140  1.755  1.436  
   31.320  1.755  1.435  
   31.520  1.755  1.435  
   31.720  1.755  1.435  
   31.990  1.755  1.435  
   32.270  1.755  1.435  
   32.600  1.755  1.435  
   32.900  1.755  1.435  
   33.270  1.755  1.435  
   33.550  1.755  1.435  
   33.950  1.755  1.435  
   34.440  1.755  1.435  
   34.960  1.755  1.435  
   35.500  1.755  1.435  
   36.100  1.755  1.435  
   36.770  1.755  1.435  
   37.570  1.755  1.435  
   38.000  1.755  1.435  
   38.650  1.755  1.435  
   39.620  1.755  1.435  
   41.080  1.755  1.435  
  156.406  1.727  1.432  
  234.563  1.699  1.430  
  299.562  1.677  1.428  
  374.269  1.654  1.427  
  454.320  1.629  1.425  
  543.625  1.602  1.423  
  642.362  1.573  1.420  
  743.536  1.546  1.418  
  811.526  1.528  1.416  
  881.940  1.510  1.414  
  987.561  1.485  1.412  
 1091.840  1.461  1.409  
 1151.511  1.447  1.407  
 1190.276  1.438  1.406  
 1248.423  1.425  1.404  
 1335.643  1.407  1.402  
 1462.885  1.382  1.398  
 1589.641  1.358  1.395  
 1715.965  1.334  1.391  
 1841.841  1.311  1.387  
 1942.343  1.292  1.384  
 2048.515  1.275  1.381  
 2173.163  1.255  1.378  
 2265.618  1.240  1.375  
 2364.546  1.224  1.372  
 2487.941  1.206  1.369  
 2610.786  1.188  1.365  
 2733.118  1.172  1.362  
 2825.557  1.159  1.359  
 2900.564  1.149  1.357  
 3013.075  1.134  1.354  
 3133.600  1.119  1.350  
 3193.863  1.112  1.348  
 3224.040  1.108  1.348  
 3251.463  1.105  1.347  
 3271.212  1.102  1.346  
 3287.777  1.100  1.346  
 3312.624  1.098  1.345  
 3349.895  1.093  1.344  
 3391.234  1.088  1.343  
 3449.820  1.081  1.341  
 3537.698  1.071  1.339  
 3655.719  1.059  1.336  
 3758.846  1.048  1.333  
 3872.510  1.036  1.330  
 3982.752  1.025  1.327  
 4065.142  1.016  1.324  
 4177.919  1.005  1.321  
 4292.550  0.994  1.318  
 4397.107  0.985  1.315  
 4507.248  0.974  1.313  
 4570.000  0.969  1.311  
 4570.000  0.969  1.311  
 4570.000  0.969  1.311  
 4570.000  0.969  1.311  
