   age(Myr)     LI7    Be9 
   30.920  1.764  1.436  
   31.090  1.764  1.436  
   31.240  1.764  1.436  
   31.410  1.764  1.436  
   31.610  1.764  1.435  
   31.760  1.764  1.435  
   32.000  1.764  1.435  
   32.180  1.764  1.435  
   32.440  1.764  1.435  
   32.710  1.764  1.435  
   33.060  1.764  1.435  
   33.370  1.764  1.435  
   33.800  1.764  1.435  
   34.250  1.764  1.435  
   34.760  1.764  1.435  
   35.290  1.764  1.435  
   35.860  1.764  1.435  
   36.500  1.764  1.435  
   37.240  1.764  1.435  
   38.000  1.764  1.435  
   39.150  1.764  1.435  
   40.860  1.764  1.435  
  156.391  1.732  1.432  
  234.540  1.706  1.430  
  302.228  1.686  1.428  
  376.871  1.665  1.426  
  457.668  1.642  1.424  
  547.332  1.617  1.421  
  643.246  1.592  1.419  
  747.557  1.566  1.415  
  858.616  1.540  1.411  
  932.297  1.523  1.409  
  978.167  1.512  1.407  
 1034.379  1.500  1.405  
 1118.697  1.482  1.402  
 1216.498  1.462  1.398  
 1344.137  1.438  1.393  
 1431.656  1.421  1.389  
 1524.951  1.404  1.386  
 1622.793  1.386  1.382  
 1674.615  1.378  1.380  
 1705.061  1.373  1.378  
 1750.729  1.365  1.377  
 1819.231  1.353  1.374  
 1921.983  1.337  1.370  
 2047.099  1.318  1.364  
 2171.717  1.299  1.360  
 2263.169  1.286  1.356  
 2387.010  1.268  1.351  
 2510.284  1.250  1.346  
 2633.057  1.233  1.341  
 2711.294  1.223  1.338  
 2790.283  1.213  1.335  
 2872.948  1.203  1.332  
 2944.556  1.195  1.329  
 2984.764  1.191  1.328  
 3020.015  1.187  1.327  
 3068.760  1.181  1.325  
 3141.878  1.172  1.322  
 3251.555  1.159  1.318  
 3370.972  1.146  1.314  
 3489.809  1.133  1.309  
 3591.091  1.122  1.306  
 3641.732  1.116  1.304  
 3688.684  1.112  1.302  
 3759.113  1.104  1.299  
 3864.757  1.094  1.296  
 3981.081  1.082  1.291  
 4096.780  1.070  1.287  
 4211.865  1.059  1.283  
 4315.359  1.050  1.280  
 4429.289  1.039  1.276  
 4509.025  1.032  1.273  
 4570.000  1.026  1.271  
 4570.000  1.026  1.271  
 4570.000  1.026  1.271  
 4570.000  1.026  1.271  
