   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1407.23  1472.66  1535.64  1591.55   0.0893   0.1532 
   10  1548.13  1612.24  1674.17  1729.09   0.0886   0.1516 
   11  1686.33  1749.00  1809.82  1865.29   0.0880   0.1478 
   12  1821.77  1884.76  1945.54  2001.26   0.0882   0.1469 
   13  1957.20  2020.39  2081.68  2137.77   0.0861   0.1445 
   14  2093.15  2156.53  2217.28  2273.52   0.0844   0.1402 
   15  2228.34  2291.66  2352.16  2407.65   0.0818   0.1378 
   16  2362.78  2425.60  2486.07  2541.71   0.0790   0.1343 
   17  2496.41  2559.77  2620.48  2676.23   0.0774   0.1314 
   18  2630.50  2694.44  2755.92  2811.46   0.0747   0.1287 
   19  2765.69  2829.96  2891.64  2947.07   0.0722   0.1244 
   20  2901.11  2965.89  3027.77  3082.43   0.0699   0.1213 
   21  3036.88  3101.68  3163.91  3217.90   0.0671   0.1179 
   22  3172.76  3237.87  3300.21  3353.68   0.0651   0.1143 
   23  3308.77  3374.28  3437.13  3489.70   0.0629   0.1115 
   24  3445.42  3511.10  3574.26  3626.28   0.0607   0.1080 
   25  3582.31  3648.39  3711.75  3762.99   0.0588   0.1048 
   26  3719.53  3785.74  3849.48  3900.63   0.0567   0.1019 
   27  3857.05  3923.42  3987.28  4058.16   0.0550   0.0986 
   28  3994.61  4061.23  4125.33  4216.58   0.0533   0.0960 
   29  4132.44  4199.07  4263.36  4323.96   0.0516   0.0931 
