   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1407.33  1472.70  1535.80  1591.55   0.0893   0.1532 
   10  1548.36  1612.57  1674.45  1729.09   0.0890   0.1515 
   11  1686.64  1749.38  1810.26  1865.29   0.0881   0.1482 
   12  1822.23  1885.17  1945.93  2001.26   0.0883   0.1469 
   13  1957.62  2020.90  2082.18  2137.77   0.0863   0.1448 
   14  2093.66  2157.13  2217.95  2273.52   0.0844   0.1405 
   15  2229.03  2292.46  2352.95  2407.65   0.0818   0.1379 
   16  2363.57  2426.49  2486.95  2541.71   0.0790   0.1346 
   17  2497.28  2560.64  2621.31  2676.23   0.0772   0.1316 
   18  2631.32  2695.30  2756.76  2811.46   0.0747   0.1290 
   19  2766.50  2830.82  2892.55  2947.07   0.0721   0.1247 
   20  2902.02  2966.84  3028.74  3082.43   0.0699   0.1214 
   21  3037.86  3102.70  3164.99  3217.90   0.0672   0.1181 
   22  3173.85  3238.90  3301.30  3353.68   0.0652   0.1142 
   23  3309.88  3375.39  3438.24  3489.70   0.0631   0.1114 
   24  3446.55  3512.20  3575.42  3626.28   0.0609   0.1080 
   25  3583.52  3649.57  3712.92  3762.99   0.0591   0.1047 
   26  3720.75  3787.00  3850.74  3900.63   0.0571   0.1019 
   27  3858.34  3924.72  3988.57  4058.16   0.0553   0.0987 
   28  3995.95  4062.64  4126.66  4216.58   0.0536   0.0961 
   29  4133.80  4200.52  4264.80  4323.96   0.0518   0.0934 
