   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1406.92  1472.39  1535.34  1591.55   0.0896   0.1537 
   10  1547.87  1611.95  1673.86  1729.09   0.0889   0.1520 
   11  1686.07  1748.74  1809.49  1865.29   0.0884   0.1482 
   12  1821.47  1884.45  1945.20  2001.26   0.0885   0.1474 
   13  1956.91  2020.06  2081.30  2137.77   0.0864   0.1449 
   14  2092.82  2156.23  2216.95  2273.52   0.0848   0.1407 
   15  2228.05  2291.35  2351.84  2407.65   0.0821   0.1383 
   16  2362.51  2425.32  2485.73  2541.71   0.0794   0.1347 
   17  2496.11  2559.46  2620.14  2676.23   0.0777   0.1320 
   18  2630.20  2694.09  2755.55  2811.46   0.0750   0.1292 
   19  2765.36  2829.64  2891.28  2947.07   0.0726   0.1249 
   20  2900.79  2965.56  3027.44  3082.43   0.0702   0.1218 
   21  3036.60  3101.38  3163.56  3217.90   0.0675   0.1183 
   22  3172.46  3237.57  3299.88  3353.68   0.0655   0.1148 
   23  3308.48  3373.96  3436.79  3489.70   0.0632   0.1120 
   24  3445.13  3510.80  3573.90  3626.28   0.0610   0.1084 
   25  3581.99  3648.08  3711.42  3762.99   0.0591   0.1053 
   26  3719.24  3785.42  3849.14  3900.63   0.0570   0.1023 
   27  3856.74  3923.13  3986.94  4058.16   0.0553   0.0990 
   28  3994.31  4060.91  4125.00  4216.58   0.0536   0.0964 
   29  4132.16  4198.77  4263.02  4323.96   0.0519   0.0934 
