   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1407.51  1472.83  1536.02  1591.55   0.0889   0.1524 
   10  1548.51  1612.68  1674.65  1729.09   0.0886   0.1507 
   11  1686.77  1749.47  1810.44  1865.29   0.0877   0.1473 
   12  1822.34  1885.27  1946.11  2001.26   0.0878   0.1460 
   13  1957.73  2020.99  2082.36  2137.77   0.0858   0.1439 
   14  2093.76  2157.20  2218.10  2273.52   0.0839   0.1396 
   15  2229.11  2292.53  2353.09  2407.65   0.0813   0.1371 
   16  2363.63  2426.55  2487.10  2541.71   0.0784   0.1338 
   17  2497.35  2560.72  2621.47  2676.23   0.0767   0.1308 
   18  2631.41  2695.43  2756.97  2811.46   0.0741   0.1282 
   19  2766.64  2830.96  2892.79  2947.07   0.0715   0.1239 
   20  2902.18  2967.02  3028.99  3082.43   0.0693   0.1205 
   21  3038.03  3102.90  3165.28  3217.90   0.0665   0.1173 
   22  3174.05  3239.13  3301.60  3353.68   0.0645   0.1134 
   23  3310.09  3375.65  3438.57  3489.70   0.0624   0.1106 
   24  3446.79  3512.47  3575.78  3626.28   0.0601   0.1072 
   25  3583.78  3649.86  3713.28  3762.99   0.0584   0.1038 
   26  3721.01  3787.31  3851.13  3900.63   0.0563   0.1011 
   27  3858.63  3925.03  3988.97  4058.16   0.0545   0.0978 
   28  3996.25  4062.98  4127.07  4216.58   0.0529   0.0952 
   29  4134.11  4200.86  4265.23  4323.96   0.0511   0.0926 
