   n    nu0      nu1      nu2      nu3       r02     r13 
    9  1407.40  1472.76  1535.88  1591.55   0.0892   0.1530 
   10  1548.42  1612.62  1674.53  1729.09   0.0889   0.1513 
   11  1686.69  1749.42  1810.33  1865.29   0.0880   0.1479 
   12  1822.27  1885.21  1945.99  2001.26   0.0881   0.1466 
   13  1957.66  2020.93  2082.24  2137.77   0.0862   0.1445 
   14  2093.70  2157.15  2218.00  2273.52   0.0842   0.1402 
   15  2229.06  2292.47  2352.98  2407.65   0.0817   0.1376 
   16  2363.59  2426.50  2486.99  2541.71   0.0788   0.1344 
   17  2497.30  2560.65  2621.35  2676.23   0.0771   0.1313 
   18  2631.34  2695.34  2756.82  2811.46   0.0745   0.1287 
   19  2766.55  2830.87  2892.64  2947.07   0.0719   0.1245 
   20  2902.09  2966.91  3028.83  3082.43   0.0697   0.1211 
   21  3037.93  3102.79  3165.10  3217.90   0.0670   0.1178 
   22  3173.93  3239.00  3301.41  3353.68   0.0649   0.1140 
   23  3309.97  3375.50  3438.36  3489.70   0.0629   0.1112 
   24  3446.64  3512.31  3575.56  3626.28   0.0606   0.1078 
   25  3583.62  3649.68  3713.05  3762.99   0.0589   0.1044 
   26  3720.84  3787.12  3850.88  3900.63   0.0568   0.1017 
   27  3858.44  3924.82  3988.71  4058.16   0.0550   0.0985 
   28  3996.05  4062.75  4126.80  4216.58   0.0534   0.0958 
   29  4133.90  4200.63  4264.95  4323.96   0.0515   0.0932 
