    radius           X             Y            Z            omegaE-6       p           T          rho 
  1.191717e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526507e+17  1.359057e+07  8.338583e+01 
  1.210151e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526505e+17  1.359056e+07  8.338576e+01 
  1.228871e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526502e+17  1.359056e+07  8.338569e+01 
  1.247881e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526500e+17  1.359055e+07  8.338562e+01 
  1.267184e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526498e+17  1.359054e+07  8.338554e+01 
  1.286786e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526496e+17  1.359053e+07  8.338547e+01 
  1.306692e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526493e+17  1.359052e+07  8.338539e+01 
  1.326905e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526491e+17  1.359052e+07  8.338530e+01 
  1.347431e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526488e+17  1.359051e+07  8.338522e+01 
  1.368274e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526485e+17  1.359050e+07  8.338513e+01 
  1.389440e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526483e+17  1.359049e+07  8.338504e+01 
  1.410934e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526480e+17  1.359048e+07  8.338495e+01 
  1.432760e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526477e+17  1.359047e+07  8.338485e+01 
  1.454923e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526474e+17  1.359046e+07  8.338475e+01 
  1.477430e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526471e+17  1.359045e+07  8.338465e+01 
  1.500284e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526468e+17  1.359044e+07  8.338455e+01 
  1.523493e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526464e+17  1.359042e+07  8.338444e+01 
  1.547060e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526461e+17  1.359041e+07  8.338433e+01 
  1.570991e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526457e+17  1.359040e+07  8.338421e+01 
  1.595293e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526454e+17  1.359039e+07  8.338409e+01 
  1.619971e-03  6.995245e-01  2.818191e-01  1.859209e-02  9.978601e+00  1.526450e+17  1.359037e+07  8.338397e+01 
