   n    nu0      nu1      nu2      nu3       r02    r13  
    9  1407.31  1472.65  1535.77  1591.55   0.0892   0.1529  
   10  1548.31  1612.49  1674.40  1729.09   0.0889   0.1512  
   11  1686.57  1749.28  1810.18  1865.29   0.0880   0.1479  
   12  1822.12  1885.05  1945.82  2001.26   0.0881   0.1466  
   13  1957.48  2020.74  2082.04  2137.77   0.0862   0.1445  
   14  2093.50  2156.93  2217.78  2273.52   0.0842   0.1402  
   15  2228.83  2292.23  2352.74  2407.65   0.0817   0.1376  
   16  2363.34  2426.23  2486.73  2541.71   0.0788   0.1343  
   17  2497.04  2560.38  2621.09  2676.23   0.0771   0.1312  
   18  2631.08  2695.07  2756.56  2811.46   0.0745   0.1286  
   19  2766.29  2830.61  2892.38  2947.07   0.0719   0.1244  
   20  2901.82  2966.67  3028.57  3082.43   0.0697   0.1210  
   21  3037.66  3102.55  3164.84  3217.90   0.0669   0.1178  
   22  3173.66  3238.76  3301.16  3353.68   0.0648   0.1140  
   23  3309.68  3375.24  3438.09  3489.70   0.0627   0.1113  
   24  3446.35  3512.03  3575.28  3626.28   0.0604   0.1078  
   25  3583.31  3649.37  3712.76  3762.99   0.0587   0.1044  
   26  3720.53  3786.78  3850.57  3900.63   0.0566   0.1016  
   27  3858.12  3924.46  3988.39  4058.16   0.0549   0.0983  
   28  3995.72  4062.37  4126.47  4216.58   0.0533   0.0956  
   29  4133.57  4200.24  4264.60  4323.96   0.0515   0.0929  
